Название,"Цена, ₽","Вес, г",Рейтинг,Кол-во отзывов,Ссылка,"Цена за 100 г, ₽"
Пломбир шоколадный в ваф. рожке в темном шоколаде,98.0,70.0,4.9,14670.0,https://vkusvill.ru/goods/plombir-shokoladnyy-v-vaf-rozhke-v-temnom-shokolade-106621.html,140.0
"Мороженое ""Карамельное"" без доб. сахара",376.0,310.0,4.9,4621.0,https://vkusvill.ru/goods/morozhenoe-karamelnoe-bez-dob-sakhara-115432.html,121.29
"Пломбир ""Черная смородина"" в ваф. стаканчике",114.0,90.0,4.9,3291.0,https://vkusvill.ru/goods/plombir-chernaya-smorodina-v-vaf-stakanchike-91659.html,126.67
"Мороженое сливочное с черной смородиной, 130&nbsp;г",150.0,130.0,4.9,6305.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-s-chernoy-smorodinoy-130-g-116880.html,115.38
"Лед ""Вишня""",74.0,50.0,4.8,4212.0,https://vkusvill.ru/goods/led-vishnya-106472.html,148.0
"Лед ""Клубника""",74.0,50.0,4.8,5067.0,https://vkusvill.ru/goods/led-klubnika-106471.html,148.0
"Мороженое молочное ""Малина с фисташковым пралине""",572.0,250.0,4.6,23.0,https://vkusvill.ru/goods/morozhenoe-molochnoe-malina-s-fistashkovym-praline-118730.html,228.8
Пломбир Крем-брюле в плоском ваф. стаканчике с какао,12.0,80.0,4.7,123.0,https://vkusvill.ru/goods/plombir-krem-bryule-v-ploskom-vaf-stakanchike-s-kakao-89748.html,15.0
Эскимо в темном шоколаде с фундуком,159.0,75.0,5.0,4948.0,https://vkusvill.ru/goods/eskimo-v-temnom-shokolade-s-fundukom-64978.html,212.0
Пломбир с манго и яблоком в ваф. рожке,57.0,100.0,4.7,265.0,https://vkusvill.ru/goods/plombir-s-mango-i-yablokom-v-vaf-rozhke-89566.html,57.0
Эскимо пломбир ванильный с воздушным рисом в белом шок.,113.0,80.0,4.7,40.0,https://vkusvill.ru/goods/eskimo-plombir-vanilnyy-s-vozdushnym-risom-v-belom-shok-88679.html,141.25
"Пломбир ""Мини-сэндвич"" с ароматом ванили",27.0,30.0,4.8,4112.0,https://vkusvill.ru/goods/plombir-mini-sendvich-s-aromatom-vanili-64039.html,90.0
"Пломбир ""Грецкий орех, фундук и карамель"" в ваф. рожке",82.0,100.0,4.7,1253.0,https://vkusvill.ru/goods/plombir-gretskiy-orekh-funduk-i-karamel-v-vaf-rozhke-88638.html,82.0
"Десерт взбитый замороженный из маракуйи, пюре манго и семян чиа",92.0,70.0,4.7,163.0,https://vkusvill.ru/goods/desert-vzbityy-zamorozhennyy-iz-marakuyi-pyure-mango-i-semyan-chia-107597.html,131.43
Мороженое с кусочками манго,223.0,350.0,4.6,1345.0,https://vkusvill.ru/goods/morozhenoe-s-kusochkami-mango-99299.html,63.71
Пломбир с черной смородиной и черносмородиновым соком,85.0,70.0,4.6,391.0,https://vkusvill.ru/goods/plombir-s-chernoy-smorodinoy-i-chernosmorodinovym-sokom-106041.html,121.43
"Десерт фруктово-ягодный ""Вишня-кола""",88.0,92.0,4.9,32.0,https://vkusvill.ru/goods/desert-fruktovo-yagodnyy-vishnya-kola-89055.html,95.65
"Мороженое сливочное ""Мятное с шоколадом""",139.0,80.0,4.7,212.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-myatnoe-s-shokoladom-69106.html,173.75
