,Название,"Цена, ₽","Вес, г","Цена за 100 г, ₽",Рейтинг,Кол-во отзывов,Ссылка,Большие порции,Стаканчики и рожки,Сэндвичи и брикет,Фруктовое,Шоколадное,Эскимо и батончики,ПП,Ценовая премия,Относительная популярность,Score
51,"Мороженое Шоколадное Джелато с Брауни молочное 4.5% Зелёная Линия, 600г",1055.99,600.0,176.0,4.9,422,https://www.perekrestok.ru/cat/1601/p/morozenoe-sokoladnoe-dzelato-s-brauni-molocnoe-4-5-zelenaa-linia-600g-4347032,True,False,False,False,False,False,False,1.1,0.982,1.059
52,"Мороженое Bounty Сочный манго молочное с мякотью кокоса 6.5%, 64г",209.99,70.0,299.99,4.73,288,https://www.perekrestok.ru/cat/321/p/morozenoe-bounty-socnyj-mango-molocnoe-s-makotu-kokosa-6-5-64g-4416072,False,False,False,False,False,True,False,1.348,0.825,1.052
53,"Мороженое Чистая линия Пломбироешка ванильный пломбир 12%, 450г",679.99,450.0,151.11,4.9,1017,https://www.perekrestok.ru/cat/1601/p/morozenoe-cistaa-linia-plombiroeska-vanilnyj-plombir-12-450g-3454242,True,False,False,False,False,False,False,0.944,1.125,1.041
54,"Мороженое Чистая Линия Эскимо с рисовыми шариками в глазури 12%, 70г",159.99,70.0,228.56,4.82,1347,https://www.perekrestok.ru/cat/321/p/morozenoe-cistaa-linia-eskimo-s-risovymi-sarikami-v-glazuri-12-70g-4425165,False,False,False,False,False,True,False,1.027,1.049,1.039
55,"Мороженое Жареный Арахис В Карамели сливочное 8% Зелёная Линия, 75г",144.99,75.0,193.32,4.82,462,https://www.perekrestok.ru/cat/1601/p/morozenoe-zarenyj-arahis-v-karameli-slivocnoe-8-zelenaa-linia-75g-4385702,False,True,False,False,False,False,False,1.379,0.774,1.029
56,"Мороженое Binggrae Мелона фисташка 3.31%, 70г",230.99,70.0,329.99,4.63,169,https://www.perekrestok.ru/cat/321/p/morozenoe-binggrae-melona-fistaska-3-31-70g-4408949,False,False,False,False,False,True,False,1.483,0.748,1.027
57,"Пломбир Чистая Линия Радуга ванильный стаканчик 12%, 90г",129.99,90.0,144.43,4.85,3421,https://www.perekrestok.ru/cat/1601/p/plombir-cistaa-linia-raduga-vanilnyj-stakancik-12-90g-3680631,False,True,False,False,False,False,False,1.03,1.027,1.026
58,"Мороженое Aice Моти Банан, 45мл",99.99,45.0,222.2,4.67,89,https://www.perekrestok.ru/cat/421/p/morozenoe-aice-moti-banan-45ml-4389054,False,False,False,True,False,False,False,1.0,1.095,1.023
59,"Пломбир Коровка Из Кореновки миндальный и фисташковый с кусочками печенья, 300г",499.99,300.0,166.66,4.87,462,https://www.perekrestok.ru/cat/421/p/plombir-korovka-iz-korenovki-mindalnyj-i-fistaskovyj-s-kusockami-pecena-300g-4428745,True,False,False,False,False,False,False,1.042,0.997,1.012
60,Мороженое Магнат Шоколадный трюфель эскимо 8% 67г,164.99,67.0,246.25,4.93,574,https://www.perekrestok.ru/cat/421/p/morozenoe-magnat-sokoladnyj-trufel-eskimo-8-67g-4429714,False,False,False,False,False,True,False,1.107,0.925,1.01
61,"Мороженое эскимо Snickers молочное с карамелью и арахисом в глазури 5%, 65г",147.99,75.0,197.32,4.91,2863,https://www.perekrestok.ru/cat/1601/p/morozenoe-eskimo-snickers-molocnoe-s-karamelu-i-arahisom-v-glazuri-5-65g-4089670,False,False,False,False,False,True,False,0.887,1.159,1.01
62,"Мороженое Магнат Double Соленая карамель 10%, 310г",599.99,440.0,136.36,4.85,1737,https://www.perekrestok.ru/cat/1601/p/morozenoe-magnat-double-solenaa-karamel-10-310g-4208864,True,False,False,False,False,False,False,0.852,1.212,1.002
